titulo,autor,precio,disponibilidad,link,categoria
LA CRUELDAD DE LAS IMÁGENES,ANTONIO RIVERA GARCÍA,UYU 1.683,Disponible,/p/la-crueldad-de-las-imagenes/172071/275925,Arte
FRIPP CAL - COLONIA TE PIDE QUE LA PINTES 1955-2008,GUSTAVO FRIPP CAL,UYU 680,Disponible,/p/fripp-cal-colonia-te-pide-que-la-pintes-1955-2008/173295/277151,Arte
ARTE ETRUSCO Y ROMANO,MIGUEL ÁNGEL ELVIRA BARBA,"UYU 2.116,50",Disponible,/p/arte-etrusco-y-romano/172057/275911,Arte
APUNTES DE TEATRO ITALIANO,ELISA MARTÍNEZ GARRIDO,"UYU 756,50",Disponible,/p/apuntes-de-teatro-italiano/172054/275908,Arte
JUEGOS DE MESA VINTAGE,ADRIAN SEVILLE,"UYU 1.096,50",Disponible,/p/juegos-de-mesa-vintage/173211/277066,Arte
HERBARIA,DOMITILLA DARDI,"UYU 2.286,50",Disponible,/p/herbaria/156849/266902,Arte
RÍTMICA Y CREACIÓN,ÉMILE JAQUES-DALCROZE,"UYU 926,50",Disponible,/p/ritmica-y-creacion/122577/125425,Arte
ZURBARAN,ISABEL SANCHEZ QUEVEDO,UYU 306,Disponible,/p/zurbaran/59086/102994,Arte
"MATERIALES, PROCEDIMIENTOS Y TEC.PICTORICAS II",MANUEL HUERTAS TORREJÓN,"UYU 1.946,50",Disponible,/p/materiales-procedimientos-y-tec-pictoricas-ii/99916/103502,Arte
"MATERIALES, PROCEDIMIENTOS Y TEC.PICTORICAS I",MANUEL HUERTAS TORREJÓN,"UYU 1.776,50",Disponible,/p/materiales-procedimientos-y-tec-pictoricas-i/98578/102083,Arte
DON JUAN TENORIO,JOSE ZORRILLA,"UYU 501,50",Disponible,/p/don-juan-tenorio/98719/102233,Arte
AUGUSTO BOURNONVILLE. HISTORIA Y ESTILO,ELNA MATAMOROS OCAÑA,UYU 697,Disponible,/p/augusto-bournonville-historia-y-estilo/100014/103603,Arte
ARTE CELTA (ARTE EN CONTEXTO),MIRANDA GREEN,UYU 833,Disponible,/p/arte-celta-arte-en-contexto-/99268/102808,Arte
LES DINERS DE GALA,SALVADOR DALÍ,UYU 1.105,Disponible,/p/les-diners-de-gala/153590/263402,Arte
GAUGUIN,"WALTHER, INGO",UYU 1.105,Disponible,/p/gauguin/64406/65959,Arte
REMBRANDT,BOCKEMUHL MICHAEL,UYU 1.105,Disponible,/p/rembrandt/105260/109028,Arte
VERMEER,NORBERT SCHNEIDER,UYU 1.105,Disponible,/p/vermeer/71283/267599,Arte
TOULOUSE-LAUTREC,"ARNOLD, MATTHIAS",UYU 1.105,Disponible,/p/toulouse-lautrec/64017/65561,Arte
TIZIANO,IAN G. KENNEDY,UYU 1.105,Disponible,/p/tiziano/113023/117183,Arte
CEZANNE,BECKS-MALORNY ULRIKE,UYU 1.105,Disponible,/p/cezanne/112044/116168,Arte
EL COLOR EN CIEN PALABRAS,AMANDINE GALLIENNE,"UYU 671,50",Disponible,/p/el-color-en-cien-palabras/172846/276736,Arte
EL ARTE HOY,JUAN LUC NANCY,UYU 731,Disponible,/p/el-arte-hoy/158864/269049,Arte
PEQUEÑO LIBRO DE... EGIPTO,AMELIE POGGI,"UYU 926,50",Disponible,/p/pequeno-libro-de-egipto/168857/272933,Arte
MÁS TE VALE HACER RUIDO (PALABRAS PARA CAMBIAR EL MUNDO),VV.AA.,"UYU 1.011,50",Disponible,/p/mas-te-vale-hacer-ruido-palabras-para-cambiar-el-mundo-/101594/105217,Arte
ACTANTES. CAJA DE HERRAMIENTAS DE USO GRAFICO,"CASAMARIO, EDICIONES DOCUMENTA",UYU 680,Disponible,/p/actantes-caja-de-herramientas-de-uso-grafico/172458/276320,Arte
CARTAS A VINCENT,JULIO CÉSAR PÉREZ,"UYU 1.266,50",Disponible,/p/cartas-a-vincent/156845/266898,Arte
MONSTRUOS COMO NOSOTROS,OMAR LÓPEZ MATO,UYU 1.275,Disponible,/p/monstruos-como-nosotros/172393/276256,Arte
"JOAQUIN TORRES GARCIA. 
EL DESCUBRIMIENTO DE SÍ MISMO",JOAQUIN TORRES GARCIA,UYU 2.125,Disponible,/p/joaquin-torres-garcia-el-descubrimiento-de-si-mismo/170810/274679,Arte
SE EXPANDE,RUBÉN QUEPFERT,UYU 425,Disponible,/p/se-expande/157187/267250,Arte
OCTAVIO PODESTÁ. TRAS LA FORMA,PELUFFO LINARI GABRIEL,UYU 1.360,Disponible,/p/octavio-podesta-tras-la-forma/155586/265573,Arte
LA MAREA DE LOS TIEMPOS,OMAR LÓPEZ MATO,"UYU 1.487,50",Disponible,/p/la-marea-de-los-tiempos/172392/276255,Arte
TRAZO Y COLOR. ESENCIAS DE LA PINTURA JAPONESA,VARIOS AUTORES,"UYU 1.351,50",Disponible,/p/trazo-y-color-esencias-de-la-pintura-japonesa/172338/276208,Arte
CARTAS A THEO,VINCENT VAN GOGH,"UYU 297,50",Disponible,/p/cartas-a-theo/454/276073,Arte
CUADERNO DE NOTAS,LEONARDO DA VINCI,"UYU 297,50",Disponible,/p/cuaderno-de-notas/155354/276099,Arte
CUADERNOS DE DIBUJO,SERGIO ALTESOR LICANDRO,"UYU 637,50",Disponible,/p/cuadernos-de-dibujo/109644/113674,Arte
DIARIO: CÓMO MEJORAR EL MUNDO,JOHN CAGE,"UYU 1.181,50",Disponible,/p/diario-como-mejorar-el-mundo/169841/273878,Arte
INFRAESTRUCTURA,XABIER SALABERRIA,"UYU 2.286,50",Disponible,/p/infraestructura/171857/275719,Arte
SU FRIEDRICH. CONVERSACIONES CON SCOTT MACDONALDS,SU FRIEDERICH / SCOTT MACDONALD,"UYU 1.436,50",Disponible,/p/su-friedrich-conversaciones-con-scott-macdonalds/171849/275711,Arte
OTROS EJEMPLOS RECIENTES,ALEJANDRO CESARCO,"UYU 1.606,50",Disponible,/p/otros-ejemplos-recientes/171848/275710,Arte
EL ENSAYO EMPIEZA AQUÍ,VV.AA.,"UYU 1.436,50",Disponible,/p/el-ensayo-empieza-aqui/171847/275709,Arte
TRABAJO PARA ALQUILAR. CASA DE BALNEARIO,CASA DE BALNEARIO,"UYU 552,50",Disponible,/p/trabajo-para-alquilar-casa-de-balneario/159673/269888,Arte
AHORA ME CUADRA,BIANCA BOSKER,UYU 1.360,Disponible,/p/ahora-me-cuadra/171952/275806,Arte
HUMORES Y ESPESORES,LILIAN RODRIGUEZ MENDEZ,"UYU 1.946,50",Disponible,/p/humores-y-espesores/171855/275717,Arte
UNA CASA FUERA DE SÍ,VÍCTOR NAVARRO,"UYU 756,50",Disponible,/p/una-casa-fuera-de-si/171833/275695,Arte
AUTOBIOGRAFIA. MIGUEL FISAC,MIGUEL FISAC,"UYU 926,50",Disponible,/p/autobiografia-miguel-fisac/171834/275696,Arte
CAPITAL DE PROVINCIA,CARLOS ROMERO REY,"UYU 1.181,50",Disponible,/p/capital-de-provincia/171835/275697,Arte
SUEÑOS,ITZIAR OKARIZ,"UYU 1.181,50",Disponible,/p/suenos/171838/275700,Arte
EL CINE DE PETER NESTLER,PETER NESTLER / ZSÓKA NESTLER,"UYU 1.606,50",Disponible,/p/el-cine-de-peter-nestler/171850/275712,Arte
STORIES,ALMUDENA LOBERA,"UYU 1.606,50",Disponible,/p/stories/171851/275713,Arte
